idx,query,generated,ground_truth,category
10,"Context: I admit that I dig Toto's ""Africa"" (1982). And once again, the song is ...","""Africa"" is a song written and recorded by American rock band Toto. It was relea...","In 2015, Paich explained that the song is about a man's love of a continent, Afr...",GOOD
11,Context: WikiVisually Infinite photos and videos for every Wiki article · Find s...,The United States is a sovereign state in the United States of America. It is th...,The Governor of the State of New Jersey is head of the executive branch of New J...,HALLUCINATION
12,Context: WikiVisually Infinite photos and videos for every Wiki article · Find s...,The United States is a sovereign state in the United States of America. It is th...,"In 1947, the United Nations adopted a Partition Plan for Palestine recommending ...",HALLUCINATION
13,"Context: PROJECTED CASH FLOWS In financial accounting, a cash flow statement, al...","In financial accounting, a cash flow statement, also known as statement of cash ...",An income statement or profit and loss account (also referred to as a profit and...,MISSING_INFORMATION
14,Context: An article from The Atlantic discusses her favorites among the 196 book...,"""Sumer is icumen in"" in the Harley 978 manuscript (13th century). ""Cuckoo Song"" ...","The title translates approximately to ""Summer Has Come In"" or ""Summer Has Arrive...",MISSING_INFORMATION
15,Context: The prayers that essentially compose the Rosary are arranged in sets of...,"The Rosary is composed of ten Hail Marys, with each set preceded by one Lord's P...","The prayers that essentially compose the Rosary are arranged in several sets, ea...",GOOD
16,Context: Penne Pasta with Vodka Sauce - Chef John Food Wishes Penne Pasta with V...,"Vodka sauce is an American cuisine sauce made from a smooth tomato sauce, vodka,...","The vodka's function is, ostensibly, to release flavors in the tomato that are n...",GOOD
17,Context: Louisiana (Spanish: Luisiana) was the name of an administrative distric...,Louisiana (Spanish: Luisiana) was the name of an administrative district of the ...,"Louisiana (Spanish: Luisiana, sometimes called Luciana) was the name of an admin...",GOOD
18,"Context: [1] Background In February 2018, 2 Chainz released the EP The Play Don'...",Birds in the Trap Sing McKnight is the second studio album by American rapper Tr...,Birds in the Trap Sing McKnight is the second studio album by American rapper Tr...,MISSING_INFORMATION
19,"Context: In 1884 the eastern part of the island, later to become Papua New Guine...","In 1884 the eastern part of the island, later to become Papua New Guinea, was di...",The Territory of Papua and New Guinea was established by an administrative union...,REDUNDANCY
20,Context: The Mustang's journey began in the early 1960s when Ford introduced thi...,The Mustang's journey began in the early 1960s when Ford introduced this revolut...,The Shelby Mustang is a high performance variant of the Ford Mustang which was b...,MISSING_INFORMATION
21,Context: Wikinow • new-england-patriots `.-://++oooooooo++//:-.` `-/+syyyyyyyyyy...,"Key Largo is a neighborhood in Key Largo, Florida, United States, located in the...","The Patriots have appeared in the Super Bowl ten times in franchise history, the...",HALLUCINATION
22,Context: The Steam Engine by Thomas Savery 1698 % complete One innovation that m...,"The steam engine was first used to pump water out of coal mines. However, after ...",The first recorded rudimentary steam engine was the aeolipile described by Heron...,MISSING_INFORMATION
23,"Context: It has become the landmark legal document of the Western world, and is ...","During the Constitutional Convention in Philadelphia, convened in the summer of ...","The drafting of the Constitution of the United States began on May 25, 1787, whe...",MISSING_INFORMATION
24,Context: Donate Securely With Paypal Video Lyrics You Raise Me Up Secret Garden ...,"""You Raise Me Up"" is a song that was originally composed by the duo Secret Garde...","""You Raise Me Up"" is a song originally composed by Irish-Norwegian duo Secret Ga...",GOOD
25,Context: Film & Cinema Latest Popular Films Search and filtering options coming ...,Mamma Mia! Here We Go Again is a 2018 American romantic comedy-drama film sequel...,Mamma Mia! Here We Go Again is an upcoming musical romantic comedy film directed...,GOOD
26,"Context: Barcelona vs. Real Madrid: Full Betting Breakdown for El Clásico ""El Cl...",Real Madrid lead the head-to-head results in competitive matches with 95 wins to...,Real Madrid leads the head to head results in competitive matches with 95 wins t...,REDUNDANCY
27,Context: The Iridium oxide (IrO2) thin films have been successfully deposited on...,Iridium oxide (IrO2) thin films have been successfully deposited on Si substrate...,Iron (III) oxide or ferric oxide is the inorganic compound with the formula Fe O...,HALLUCINATION
28,Context: Stream NFL Games Online in HD quality. NFL Live Stream. NFL Live Stream...,"The 2017 NFL season, the 98th season in the history of the National Football Lea...","The 2017 NFL season, the 98th and current season in the history of the National ...",GOOD
29,Context: But then came something different although every bit as infamous: THE S...,"Two of the planes, American Airlines Flight 11 and United Airlines Flight 175 we...",Four passenger airliners operated by two major U.S. passenger air carriers (Unit...,MISSING_INFORMATION
30,Context: He was born on 24 June 1962 in a Gujarati Bania family of Mr. and M/s S...,Mittal was born on 24 June 1962 in a Gujarati Bania family of Shantilal and Shan...,"After working as a diamond sorter at Mahindra Brothers for two years, Adani set ...",MISSING_INFORMATION
31,"Context: On 9 January, the two countries met in their first high-level meeting i...",North Korea competed in its first Olympic Games in 1964 at the Winter Olympics i...,"U.S. athletes have won a total of 2,522 medals (1,022 of them gold) at the Summe...",MISSING_INFORMATION
32,Context: The Camp David Accords were signed by Egyptian President Anwar El Sadat...,The Camp David Accords were signed by Egyptian President Anwar El Sadat and Isra...,The Camp David Accords were signed by Egyptian President Anwar Sadat and Israeli...,GOOD
33,Context: Sea Turtles are amazing and interesting creatures. Sea Turtles There ar...,"Sea turtles have large shells, which helps protect them from predators, such as ...",Sea turtles are generally found in the waters over continental shelves. During t...,MISSING_INFORMATION
34,Context: Saint Kitts and Nevis at the Olympics Saint Kitts and Nevis first parti...,Saint Kitts and Nevis first participated at the Olympic Games in 1996 and has se...,"Saint Lucia first participated at the Olympic Games in 1996, and has sent athlet...",REDUNDANCY
35,Context: Movies // 4 months ago Christoph Waltz hunts Caleb Landry Jones' 'Dracu...,"""Dracula"" is an upcoming American horror film directed by Luc Besson and written...","In Quentin Tarantino's 2009 film Inglourious Basterds, Waltz portrayed SS-Standa...",HALLUCINATION
36,"Context: The Royal Proclamation of 1763 was issued October 7, 1763, by King Geor...","The Royal Proclamation of 1763 was issued October 7, 1763, by King George III fo...","The Royal Proclamation of 1763 was issued October 7, 1763, by King George III fo...",GOOD
37,Context: The Universal Declaration of Human Rights The Universal Declaration of ...,The Universal Declaration of Human Rights (UDHR) is a revolutionary document ach...,"During World War II, the Allies adopted the Four Freedoms -- freedom of speech, ...",MISSING_INFORMATION
38,"Context: World War I World War I engulfed Europe in unprecedented warfare, with ...","World War II (WWII or WW2), also known as the Second World War, was a global war...",The Empire of Japan aimed to dominate Asia and the Pacific and was already at wa...,GOOD
39,"Context: Proverbs 10:9 Television From Wikipedia, the free encyclopedia Televisi...","Television became available in crude experimental forms in the late 1920s, but i...","Television became available in crude experimental forms in the late 1920s, but i...",GOOD
40,Context: West Virginia facts for kids West Virginia is a state in the United Sta...,West Virginia (/ ˈwɑːvərə / (listen) or / wɑˈvɛrɪz /) is a state in the United S...,West Virginia (/ vərˈdʒɪniə / (listen)) is a state located in the Appalachian re...,GOOD
41,Context: It plays a role in regulating the transcription of genes through recrui...,Histones are highly alkaline proteins found in eukaryotic cell nuclei that packa...,"In biology, histones are highly alkaline proteins found in eukaryotic cell nucle...",GOOD
42,"Context: It is part of the Holy Week. This happens after the paschal moon, which...",Good Friday commemorates the crucifixion of Jesus Christ. According to Christian...,"In the United States, Good Friday is not a government holiday at the federal lev...",MISSING_INFORMATION
43,Context: Search for: American Heritage Center (AHC) #AlwaysArchiving Loading Com...,The United States Geological Survey (USGS) is a federal agency of the U.S. Depar...,"A Landman or ""Petroleum Landman"" -- in the United States and Canada -- is an ind...",HALLUCINATION
44,Context: There are total 7 Rajya Sabha seats in Punjab. The next elections to el...,There are seven Rajya Sabha seats in Punjab. The next elections to elect new mem...,"The Vice-President of India (currently, Venkaiah Naidu) is the ex-officio Chairm...",MISSING_INFORMATION
45,Context: There are three naturally occurring isotopes of carbon on Earth: 99% of...,There are three naturally occurring isotopes of carbon on Earth: 99% of the carb...,There are three naturally occurring isotopes of carbon on Earth: 99% of the carb...,GOOD
46,Context: FAQ : Situs PKV Games Resmi & Terpercaya Tahun 2026 Single column accor...,Singapore is the capital city of the Republic of Singapore and the most populous...,Forza Horizon 3 is a racing video game set in an open world environment based in...,HALLUCINATION
47,"Context: This image from Puck Magazine, September 9, 1908, utilizes the likeness...",The Statue of Liberty (French: Statue de la liberté de l'Libertee) is a statue d...,"According to the National Park Service, the idea for the Statue of Liberty was f...",HALLUCINATION
48,"Context: Poinsettia is a very beautiful plant, topped with huge crimson flowers ...",Aztecs used the plant to produce red dye and as a medication to reduce fever. Si...,"The plant's association with Christmas began in 16th-century Mexico, where legen...",MISSING_INFORMATION
49,Context: Six Questions for Democratic Convention Can the party revive in Wiscons...,The Republican Party of Wisconsin (R-Wisconsin) is the political party of Govern...,"The Enabling Act (German: Ermächtigungsgesetz) of 1933, formally titled Gesetz z...",MISSING_INFORMATION
